institution,school_type,state,testing_info_link,rtc_model,last_updated,testing,testing_type,test_initial,test_recurring,test_freq,test_vendor,test_pool,endowment,enrollment,endowment_per_fte_enrollment
University of Houston at Victoria,Public,TX,https://www.uhv.edu/alert/communications/fall-course-delivery-update-july-15/,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
University of Idaho,Public,ID,https://www.uidaho.edu/vandal-health-clinic/coronavirus,Planning for in-person,,,,,,,,,280996816,11841,28504
University of Illinois at Chicago,Public,IL,https://today.uic.edu/planning-for-fall-semester-at-uic,Proposing a hybrid model,,,,,,,,,319252580,31683,10266
University of Illinois at Springfield,Public,IL,https://newschannel20.com/news/local/uis-plans-for-in-person-fall-classes-final-decision-pending,Proposing a hybrid model,,,,,,,,,18054735,4575,4966
University of Illinois at Urbana-Champaign,Public,IL,https://covid19.illinois.edu/health-and-support/on-campus-covid-19-testing/,Planning for in-person,8/11/2020,TRUE,Both asymptomatic and symptomatic,TRUE,TRUE,2,U of Illinois Lab,,1578168669,49702,29454
University of Indianapolis,Private,IN,https://uindy.edu/coronavirus/?_ga=2.42512355.718056542.1589888356-214593907.1582307099#introduction,Planning for in-person,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,107804964,5935,18775
University of Iowa,Public,IA,https://coronavirus.uiowa.edu/fall-2020,Planning for in-person,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,Johnson County Department of Public Health and IDPH,,1500456000,31656,49895
University of Kansas,Public,KS,https://coronavirus.ku.edu/,Planning for in-person,7/27/2020,TRUE,Unknown,Unknown,Unknown,,The University of Kansas Health System and LMH Health,,1765780475,27690,68590
University of Kentucky,Public,KY,https://www.uky.edu/coronavirus/updates/pivotal-week-our-efforts-reinvent-normal-operations,Planning for in-person,,,,,,,,,1334530283,29182,49725
University of La Verne,Private,CA,https://laverne.edu/health/2020/fall-planning-and-budget-outlook/,Planning for in-person,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,103743414,8064,14929
University of Louisiana system,Public,LA,https://www.wafb.com/2020/05/11/ul-system-plans-resume-in-person-classes-its-schools-this-fall/,,,,,,,,,,#N/A,#N/A,#N/A
University of Louisiana system — Grambling State University,Public,LA,https://www.gram.edu/returntocampus/,Planning for in-person,8/1/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
University of Louisiana system — Louisiana Tech University,Public,LA,https://www.latech.edu/coronavirus/return-to-campus-plan/campus-planning-for-covid-19-positive-testing-results/,Planning for in-person,8/1/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
University of Louisiana system — McNeese State University,Public,LA,https://www.mcneese.edu/emergency/coronavirus-covid-19/,Planning for in-person,8/1/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
University of Louisiana system — Nicholls State University,Public,LA,,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
