NCES,District,State,Public School Enrollment,Last verified,District reopening plan,Start date,Link
2733510,St. Cloud Public School District,MN,"10,292",9/15/20,Hybrid/Partial,9/14/20,"<a href=""https://www.isd742.org/"" target=""_blank"">🔗</a>"
3200120,Elko County School District,NV,"10,133",9/8/20,Remote learning only,9/8/20,"<a href=""https://ecsdnv.net/applications/announcements"" target=""_blank"">🔗</a>"
0625530,Monterey Peninsula Unified,CA,"10,111",8/5/20,Remote learning only,8/5/20,"<a href=""https://www.mpusd.net/apps/news/article/1256348"" target=""_blank"">🔗</a>"
4221090,Scranton Sd,PA,"10,107",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.scrsd.org/"" target=""_blank"">🔗</a>"
3404230,East Orange School District,NJ,"10,072",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.eastorange.k12.nj.us/"" target=""_blank"">🔗</a>"
0600032,Redondo Beach Unified,CA,"10,041",8/26/20,Remote learning only,8/26/20,"<a href=""https://www.rbusd.org/"" target=""_blank"">🔗</a>"
0643080,Woodland Joint Unified,CA,"10,031",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.wjusd.org/Return-to-School-Resource-Center/index.html"" target=""_blank"">🔗</a>"
3631470,Williamsville Central School District,NY,"9,950",9/8/20,Hybrid/Partial,9/8/20,"<a href=""https://www.williamsvillek12.org/"" target=""_blank"">🔗</a>"
3401260,Bayonne School District,NJ,"9,853",9/9/20,Remote learning only,9/9/20,"<a href=""https://www.bboed.org/"" target=""_blank"">🔗</a>"
2708190,Eastern Carver County Public School,MN,"9,829",9/8/20,Hybrid/Partial,9/8/20,"<a href=""http://www.district112.org/"" target=""_blank"">🔗</a>"
2614610,Forest Hills Public Schools,MI,"9,772",8/31/20,Hybrid/Partial,8/31/20,"<a href=""https://www.fhps.net/return-to-learn-for-the-2020-2021-school-year/"" target=""_blank"">🔗</a>"
1800270,Avon Community School Corp,IN,"9,766",7/29/20,Full in-person reopening available for all students,7/29/20,"<a href=""https://www.avon-schools.org/backtoschool"" target=""_blank"">🔗</a>"
1603240,Twin Falls District,ID,"9,734",8/20/20,Full in-person reopening available for all students,8/19/20,"<a href=""https://www.tfsd.org/"" target=""_blank"">🔗</a>"
0622590,Los Alamitos Unified,CA,"9,730",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.losal.org/"" target=""_blank"">🔗</a>"
1302190,Floyd County,GA,"9,653",8/22/20,Full in-person reopening available for all students,8/13/20,"<a href=""https://www.floydboe.net/"" target=""_blank"">🔗</a>"
0806480,School District NO. 3 In The County Of El Paso And State Of,CO,"9,592",8/26/20,Hybrid/Partial,8/24/20,"<a href=""https://www.wsd3.org/fall-plans"" target=""_blank"">🔗</a>"
